Designator,Mid X,Mid Y,Rotation,Layer
C1,178.425,-80.1225,180.0,bottom
C10,129.6,-65.7725,0.0,bottom
C11,165.625,-67.4225,0.0,bottom
C2,175.105478,-84.7475,90.0,bottom
C3,173.205478,-81.9225,270.0,bottom
C4,175.105478,-81.7225,270.0,bottom
C5,180.688,-62.8425,180.0,bottom
C6,174.4,-87.6725,180.0,bottom
C7,170.925,-92.8225,0.0,bottom
C8,126.125,-62.6225,0.0,bottom
C9,126.15,-64.2225,0.0,bottom
D1,181.975,-75.2725,0.0,bottom
IC1,178.775,-66.6475,0.0,bottom
J1,192.525,-77.0225,270.0,bottom
J2,177.075,-56.7725,180.0,bottom
J3,165.194,-70.8345,180.0,top
J4,157.6,-98.8725,180.0,bottom
LED1,194.875,-83.5475,180.0,top
LED2,193.725,-69.435,270.0,top
LED3,195.35,-69.4225,270.0,top
Q1,171.075,-70.9725,180.0,bottom
R1,191.925,-83.5225,180.0,bottom
R10,140.6,-90.1975,270.0,bottom
R11,169.275,-82.5225,0.0,bottom
R12,169.275,-80.9725,0.0,bottom
R13,175.55,-70.9725,270.0,bottom
R14,173.9,-70.9725,90.0,bottom
R15,168.15,-71.8725,90.0,bottom
R16,189.575,-70.1225,180.0,bottom
R17,188.2,-86.1475,270.0,bottom
R18,188.2,-89.4225,90.0,bottom
R19,155.625,-95.1475,90.0,bottom
R2,193.675,-66.36,90.0,bottom
R20,157.625,-95.1475,90.0,bottom
R3,195.35,-66.3225,90.0,bottom
R4,136.5,-65.7475,180.0,bottom
R5,133.45,-65.7475,180.0,bottom
R6,191.15,-95.0225,0.0,bottom
R7,170.925,-89.7225,0.0,bottom
R8,170.925,-91.2975,0.0,bottom
R9,126.175,-65.7975,180.0,bottom
Rprog1,174.125,-67.7475,270.0,bottom
SD1,160.1,-58.7475,0.0,bottom
SW1,194.4365,-89.7975,270.0,bottom
SW2_4,190.3,-62.0225,0.0,top
SW2_3,190.325,-77.0225,0.0,top
SW2_2,190.3,-92.0225,0.0,top
SW2,128.3,-95.7725,180.0,bottom
SW3,128.3,-58.1475,180.0,bottom
SW4,190.3,-62.0225,180.0,top
SW5,190.325,-77.0225,180.0,top
SW6,190.3,-92.0225,0.0,top
U1,183.175,-77.8475,180.0,bottom
U2,184.2,-70.585,90.0,bottom
U3,178.05,-83.6725,180.0,bottom
U4,176.2,-91.3475,180.0,bottom
U5,174.475,-95.5225,180.0,bottom
U6,132.345,-77.0225,270.0,bottom
U7,131.1,-77.0225,270.0,bottom
U8,156.55,-77.0225,45.0,bottom
